country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ireland,1M,,,2M,1M,,,,,,7M,9M,22M,3M,1M,4M,3M,5M,28M,31M,48M,15M,,,11M,,38M,,24M,,,11M,,,41M,,,,3M,35M,0,45M,22M,,20M,5M,13M,19M,22M,0,5M,2M,2M,,40M,43M,43M,2M,7M,36M,11M
Iran,11M,107M,110M,137M,141M,171M,407M,330M,763M,1.3B,1.24B,1.77B,1.45B,2.06B,2.85B,5.17B,4.46B,5.57B,3.74B,536M,278M,487M,541M,509M,474M,548M,803M,833M,478M,193M,454M,1.02B,432M,987M,448M,292M,613M,176M,379M,321M,416M,522M,433M,280M,119M,55M,421M,329M,60M,95M,97M,98M,44M,13M,13M,13M,413M,4M,4M,3M,2M
Iraq,168M,118M,278M,201M,321M,248M,341M,345M,368M,405M,154M,187M,624M,1.85B,1.43B,1.1B,1.14B,1.05B,1.78B,1.36B,2.24B,2.6B,3.29B,3.37B,4.53B,3.95B,3.38B,3.46B,1.9B,1.49B,819M,,,,,,,,,,,,,,71M,186M,312M,275M,379M,399M,436M,574M,476M,353M,665M,1.46B,1.79B,1B,543M,175M,1M
Iceland,20M,,,,,,,,27M,,,,,,,27M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50M,,,,,,,,,
Israel,163M,84M,261M,396M,417M,437M,319M,282M,961M,1.38B,1.13B,1.35B,898M,1.98B,1.18B,1.64B,1.94B,1.26B,1.34B,707M,1.27B,1.65B,866M,487M,286M,309M,1.19B,1.08B,582M,24M,81M,1.21B,1.3B,716M,755M,362M,116M,67M,1.29B,1.19B,353M,116M,348M,190M,845M,1.13B,1.12B,832M,676M,155M,68M,85M,120M,209M,541M,681M,605M,536M,543M,546M,474M
Italy,390M,426M,876M,1.21B,1.11B,722M,406M,106M,195M,607M,681M,1.09B,1.75B,1B,1.11B,1.02B,714M,521M,694M,607M,481M,135M,253M,307M,273M,208M,200M,183M,179M,196M,158M,206M,187M,208M,201M,334M,286M,519M,56M,25M,241M,221M,239M,564M,451M,162M,423M,515M,214M,101M,102M,286M,207M,81M,141M,253M,760M,735M,317M,183M,131M
Jamaica,,,1M,1M,0,,,3M,,,,1M,,13M,8M,4M,1M,3M,4M,,,0,,,,5M,3M,,,4M,,,,,,,,,10M,10M,,,,,,10M,10M,13M,2M,,1M,,,1M,,2M,22M,,19M,3M,15M
Jordan,30M,15M,55M,39M,33M,55M,92M,126M,48M,238M,130M,68M,66M,87M,184M,372M,337M,464M,593M,279M,386M,404M,1.06B,789M,480M,294M,250M,143M,247M,59M,16M,24M,,1M,5M,19M,75M,77M,248M,63M,133M,160M,132M,281M,169M,49M,53M,181M,161M,235M,90M,215M,176M,75M,197M,233M,232M,389M,238M,224M,148M
Japan,859M,338M,221M,204M,1.72B,1.16B,324M,605M,552M,529M,651M,777M,677M,636M,1B,1.68B,1.67B,966M,1.09B,995M,1.07B,1.35B,1.46B,1.71B,2.06B,1.98B,1.9B,1.95B,2.01B,2.3B,2.7B,2.95B,2.52B,2.13B,1.02B,1.24B,859M,831M,1.48B,1.27B,497M,435M,446M,483M,404M,398M,481M,517M,693M,622M,403M,268M,205M,252M,307M,329M,330M,441M,654M,899M,724M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99M,2M,64M,,72M,121M,139M,20M,,47M,42M,44M,82M,25M,39M,58M,62M,94M,141M,95M,444M,248M,214M,310M,312M,268M
