Date,Open,High,Low,Close,Adj Close,Volume
2020-08-24,3.509000,3.660000,3.333000,3.390000,2.426848,74362526
2020-08-31,3.413000,3.419000,3.204000,3.296000,2.359555,124951191
2020-09-07,3.308000,3.360000,3.186000,3.258000,2.332351,113945904
2020-09-14,3.282000,3.320000,3.105000,3.105000,2.222821,277393522
2020-09-21,3.100000,3.100000,2.905000,2.960000,2.119018,138069249
2020-09-28,2.998000,3.057000,2.852000,2.898000,2.074633,101176662
2020-10-05,2.932000,3.315000,2.924000,3.188000,2.282239,98343546
2020-10-12,3.223000,3.257000,2.971000,3.052000,2.184880,78045347
2020-10-19,3.055000,3.117000,2.928000,3.075000,2.201345,83134455
2020-10-26,3.026000,3.140000,2.711000,2.806000,2.008772,117961905
2020-11-02,2.813000,2.927000,2.752000,2.794000,2.000181,80976719
2020-11-09,2.841000,3.440000,2.825000,3.368000,2.411099,138603599
2020-11-16,3.437000,3.596000,3.396000,3.426000,2.452620,128191640
2020-11-23,3.426000,3.778000,3.263000,3.736000,2.674544,133043043
2020-11-30,3.709000,3.842000,3.619000,3.785000,2.709623,112123545
2020-12-07,3.846000,3.947000,3.501000,3.548000,2.539958,127860046
2020-12-14,3.580000,3.628000,3.303000,3.323000,2.504737,178019097
2020-12-21,3.250000,3.371000,3.123000,3.338000,2.516043,116722725
2020-12-28,3.426000,3.428000,3.223000,3.245000,2.445944,54216465
2021-01-04,3.307000,3.626000,3.239000,3.567000,2.688654,121506479
2021-01-11,3.560000,4.000000,3.530000,3.750000,2.826591,122510091
2021-01-18,3.746000,3.812000,3.610000,3.637000,2.741417,71897421
2021-01-25,3.655000,3.792000,3.541000,3.554000,2.678855,62268173
2021-02-01,3.578000,3.824000,3.528000,3.801000,2.865033,97990354
2021-02-08,3.815000,3.870000,3.683000,3.763000,2.836391,44688208
2021-02-15,3.793000,3.887000,3.705000,3.734000,2.814532,68566659
2021-02-22,3.710000,3.846000,3.518000,3.526000,2.657750,105617883
2021-03-01,3.569000,3.868000,3.551000,3.854000,2.904983,73960634
2021-03-08,3.880000,4.000000,3.760000,4.000000,3.015031,75193772
2021-03-15,4.021000,4.138000,4.011000,4.036000,3.042166,99213762
2021-03-22,4.017000,4.059000,3.925000,4.027000,3.035383,94897921
2021-03-29,3.995000,4.027000,3.781500,3.782000,2.850712,91803651
2021-04-05,3.782000,3.878000,3.772500,3.800000,2.864280,75994140
2021-04-12,3.793000,3.835000,3.680000,3.752000,2.828099,84794300
2021-04-19,3.760000,3.782000,3.650000,3.668000,2.764784,94264435
2021-04-26,3.692000,3.908500,3.663000,3.853500,2.904605,68092077
2021-05-03,3.853000,3.997000,3.807500,3.912000,2.948700,58125886
2021-05-10,3.948000,4.115500,3.860500,4.011000,3.023323,83289457
2021-05-17,4.057000,4.201500,4.050000,4.180500,3.151084,91063051
2021-05-24,4.191000,4.208000,4.030000,4.032500,3.039528,183516873
2021-05-31,4.060000,4.084500,3.807500,3.820000,2.879355,155943087
2021-06-07,3.820000,4.102000,3.802000,4.079500,3.234254,104461683
2021-06-14,4.080000,4.148500,3.915500,3.966000,3.144270,75948762
2021-06-21,3.947500,4.014000,3.883500,3.930000,3.115730,66710577
2021-06-28,3.924000,3.985000,3.846500,3.953500,3.134360,56350078
2021-07-05,3.950000,3.955500,3.680500,3.764000,2.984123,64838946
2021-07-12,3.779500,3.819500,3.670000,3.715500,2.945673,47675346
2021-07-19,3.700000,3.779000,3.595500,3.760500,2.981349,46860755
2021-07-26,3.734500,3.892000,3.714000,3.866000,3.064990,68364306
2021-08-02,3.880000,4.133500,3.870500,4.087500,3.240597,71080987
2021-08-09,4.073500,4.322000,4.073500,4.284000,3.396383,70420641
2021-08-16,4.260000,4.300000,4.185000,4.257000,3.374977,47507054
2021-08-23,4.277500,4.307000,4.217000,4.276000,3.390040,38229505
2021-08-30,4.268000,4.274500,4.123000,4.123000,3.268741,61334243
2021-09-06,4.160500,4.234500,4.093000,4.120500,3.266759,49436808
2021-09-13,4.106500,4.203000,4.106500,4.171500,3.307192,65231783
2021-09-20,4.120000,4.128500,4.006000,4.098500,3.249317,71839190
2021-09-27,4.118000,4.259000,3.973000,3.997500,3.169244,81392500
2021-10-04,4.000000,4.083000,3.983000,4.025500,3.191442,64354765
2021-10-11,4.018000,4.028500,3.768500,3.797000,3.010286,108251536
2021-10-18,3.801000,3.868500,3.713500,3.771500,2.990069,96288531
2021-10-25,3.780000,3.841000,3.714000,3.764500,2.984520,72124314
2021-11-01,3.761000,3.844500,3.613500,3.766000,2.985709,96971708
2021-11-08,3.776000,3.964000,3.747000,3.960000,3.139513,64678277
2021-11-15,3.960000,4.008000,3.875000,3.967500,3.145460,127308450
2021-11-22,4.026500,4.240000,3.850500,3.909000,3.099080,198906089
2021-11-29,3.935000,4.015000,3.652500,3.669500,2.909203,286692113
2021-12-06,3.710000,3.787000,3.659000,3.724500,3.066363,67922065
2021-12-13,3.713000,3.870500,3.672000,3.855500,3.174214,205969545
2021-12-20,3.791000,3.940000,3.772000,3.901500,3.212086,72289162
2021-12-27,3.855000,3.957500,3.844500,3.852000,3.171333,51121442
2022-01-03,3.839000,3.914500,3.809000,3.909000,3.218260,67949449
2022-01-10,3.913000,4.073500,3.901000,4.032000,3.319525,91650663
2022-01-17,4.029500,4.086500,3.950000,4.003500,3.296062,83357933
2022-01-24,4.000000,4.182500,3.981000,4.163000,3.427377,111466666
2022-01-31,4.200000,4.232000,4.072000,4.164000,3.428200,78061657
2022-02-07,4.183500,4.446000,4.122500,4.419000,3.638141,104752335
2022-02-14,4.360000,4.426000,4.320000,4.369000,3.596976,70840933
2022-02-21,4.347000,4.380000,4.101000,4.250000,3.499004,114322254
2022-02-28,4.210000,4.362000,3.932000,3.960500,3.260660,118175528
2022-03-07,3.860000,4.071000,3.728000,3.988500,3.283713,103546452
2022-03-14,4.030000,4.197000,3.971000,4.171000,3.433964,137348575
2022-03-21,4.150000,4.260000,4.133500,4.239500,3.490359,64185423
2022-03-28,4.246000,4.432500,4.242500,4.417000,3.636494,62547774
2022-04-04,4.425000,4.630000,4.380000,4.627000,3.809386,64810710
2022-04-11,4.612000,5.000000,4.599000,4.996000,4.113182,76835119
2022-04-18,4.996000,5.000000,4.777000,4.845000,3.988865,77442816
2022-04-25,4.799000,4.884000,4.615000,4.633000,3.814326,83498876
2022-05-02,4.600000,4.775000,4.560000,4.717000,3.883483,53741844
2022-05-09,4.705000,4.893000,4.590000,4.777000,3.932880,70963471
2022-05-16,4.796000,4.806000,4.620000,4.692000,3.862900,61366408
2022-05-23,4.740000,4.978000,4.695000,4.947000,4.072841,230909526
2022-05-30,4.950000,5.064000,4.610000,4.664000,3.839848,119653953
2022-06-06,4.668000,4.702000,4.434000,4.483000,3.802037,169216585
2022-06-13,4.429000,4.514000,4.367000,4.398000,3.729949,86332753
2022-06-20,4.414000,4.764000,4.414000,4.734000,4.153899,111229762
2022-06-27,4.705000,4.884000,4.688000,4.873000,4.275867,92447205
2022-07-04,4.880000,4.957000,4.643000,4.720000,4.141615,88654599
